Data Time:07/01/2021 08:11:16, Message:Response received from URL, Event Name:http-//ecu.111.test, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:11:16, Message:Response received from URL, Event Name:https-//vtp.easyjet.com/vt100/, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:11:16, Message:Response received from URL, Event Name:http-//s217124dkvw1220/squaredupv33/logon?ReturnUrl=%2fsquaredupv33%2fpage%2fdashboard-eresapp-dashboard1, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:14:44, Message:The remote name could not be resolved: 'ecu.1399.test', URL Name:http-//ecu.1399.test, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:15:07, Message:Unable to connect to the remote server, URL Name:http-//ecu.114.test, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:15:07, Message:Response received from URL, URL Name:<http://ecu.111.test>, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:15:08, Message:Response received from URL, URL Name:<https://vtp.easyjet.com/vt100/>, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:15:08, Message:Response received from URL, URL Name:<http://s217124dkvw1220/squaredupv33/logon?ReturnUrl=%2fsquaredupv33%2fpage%2fdashboard-eresapp-dashboard1>, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:16:57, Message:The remote name could not be resolved: 'ecu.1399.test', URL Name:<http://ecu.1399.test>, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:17:19, Message:Unable to connect to the remote server, URL Name:<http://ecu.114.test>, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:17:20, Message:Response received from URL, URL Name:<http://ecu.111.test>, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:17:20, Message:Response received from URL, URL Name:<https://vtp.easyjet.com/vt100/>, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:17:20, Message:Response received from URL, URL Name:<http://s217124dkvw1220/squaredupv33/logon?ReturnUrl=%2fsquaredupv33%2fpage%2fdashboard-eresapp-dashboard1>, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:07/01/2021 08:21:59, Message:The remote name could not be resolved: 'ecu.1399.test', URL Name:<http://ecu.1399.test>, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:07/01/2021 08:22:22, Message:Unable to connect to the remote server, URL Name:<http://ecu.114.test>, Control Name:, Line No.:85, Class Name:Program.cs
